2025-11-07 16:55:51 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_SET","details":{"key":"positions:all","size":62},"category":"AUDIT"}
2025-11-07 16:55:51 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_MISS","details":{"key":"positions:all","source":"getPositions"},"category":"AUDIT"}
2025-11-07 16:55:51 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_HIT","details":{"key":"positions:all","source":"getPositions"},"category":"AUDIT"}
2025-11-07 16:55:52 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_SET","details":{"key":"position:5:candidates","size":458},"category":"AUDIT"}
2025-11-07 16:55:52 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_MISS","details":{"key":"position:5:candidates","source":"getCandidatesByPosition"},"category":"AUDIT"}
2025-11-07 16:55:52 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_HIT","details":{"key":"position:5:candidates","source":"getCandidatesByPosition"},"category":"AUDIT"}
2025-11-07 16:55:59 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_SET","details":{"key":"position:6:candidates","size":368},"category":"AUDIT"}
2025-11-07 16:55:59 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_MISS","details":{"key":"position:6:candidates","source":"getCandidatesByPosition"},"category":"AUDIT"}
2025-11-07 16:55:59 [INFO]: Audit Event | {"service":"voting-system","auditEvent":"CACHE_HIT","details":{"key":"position:6:candidates","source":"getCandidatesByPosition"},"category":"AUDIT"}
2025-11-07 16:56:08 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:56:08 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:56:08 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:56:08 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:56:13 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:56:18 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
2025-11-07 16:56:23 [WARN]: Security Event | {"service":"voting-system","event":"ADMIN_ACCESS_DENIED","details":{"reason":"no_token"},"severity":"medium","category":"SECURITY"}
